word,history,part_of_speech
ralho,,substantivo masculino
rally,,
ralou,,
ramai,,
ramal,,substantivo masculino
ramam,,
ramao,,
ramar,,
ramas,,
ramei,,
ramem,,
rames,,
ramos,,
ramou,,
rampa,,substantivo feminino
ranca,,substantivo feminino
ranco,,substantivo masculino
rango,,substantivo masculino
ranho,,substantivo masculino
rapai,,
rapam,,
rapar,,verbo transitivo
rapas,,
rapaz,,substantivo masculino
rapei,,
rapel,,substantivo masculino
rapem,,
rapes,,
rapou,,
rapto,,substantivo masculino
raque,,substantivo masculino e feminino
rasar,,verbo transitivo
rasas,,
rasca,,substantivo feminino
rasga,,
rasgo,,substantivo masculino
rasos,,
raspa,,substantivo feminino
raspe,,substantivo masculino
raspo,,
rasto,,substantivo masculino
ratai,,
ratam,,
ratao,,substantivo masculino
ratar,,verbo transitivo direto
ratas,,
ratei,,
ratem,,
rates,,
ratos,,
ratou,,
razao,,substantivo feminino
razia,,substantivo feminino
reaca,,adjetivo
reais,,substantivo masculino plural
rebar,,verbo transitivo direto
reboo,,substantivo masculino
recem,,adverbio
recho,,
recta,,
recto,,substantivo masculino
recua,,substantivo masculino
recuo,,substantivo masculino
redea,,substantivo feminino
redes,,
redil,,substantivo masculino
redor,,substantivo masculino
refem,,substantivo masculino e feminino
refil,,substantivo masculino
refri,,
regai,,
regal,,substantivo masculino
regar,,verbo transitivo
regas,,
reger,,verbo transitivo direto e intransitivo
regia,,substantivo feminino
regio,,adjetivo
regis,,
regra,,substantivo feminino
regre,,
regro,,
regua,,substantivo feminino
reide,,substantivo masculino
reima,,substantivo feminino
reine,,
reino,,substantivo masculino
rejao,,
relao,,
relar,,verbo transitivo direto
reler,,verbo transitivo direto
reles,,adjetivo
relha,,substantivo feminino
relho,,adjetivo
reluz,,
relva,,substantivo feminino
remai,,
remam,,
remar,,verbo intransitivo
remas,,
remei,,
remem,,
remes,,
remir,,"verbo transitivo direto, bitransitivo e pronominal"
remix,,
remoa,,
remoi,,
remoo,,
remos,,
remou,,
renal,,adjetivo
renan,,
renca,,
renda,,substantivo feminino
rende,,
rengo,,adjetivo
renio,,
rente,,adjetivo
repor,,verbo transitivo direto
repos,,
repto,,substantivo masculino
resma,,substantivo feminino
reste,,substantivo masculino
resto,,substantivo masculino
retas,,
reter,,verbo transitivo direto
retos,,substantivo masculino plural
retro,,substantivo masculino
reuso,,substantivo masculino
revel,,adjetivo
rever,,verbo transitivo direto e pronominal
reves,,substantivo masculino
rexio,,substantivo masculino
rezai,,
rezam,,
rezar,,verbo regencia multipla
rezas,,
rezei,,
rezem,,
rezes,,
rezou,,
riade,,
riana,,substantivo feminino
ribas,,
ricar,,verbo transitivo
ricas,,
ricos,,
rifao,,substantivo masculino
rifar,,verbo transitivo
rifle,,substantivo masculino
rifte,,
rigor,,substantivo masculino
rijao,,substantivo masculino
rijar,,verbo transitivo
rijos,,
rilex,,
rimai,,
rimam,,
rimar,,verbo transitivo
rimas,,
rimei,,
rimel,,substantivo masculino
rimem,,
rimes,,
rimou,,
rindo,,
rinha,,substantivo feminino
rinso,,
ripar,,verbo transitivo
risca,,substantivo feminino
risco,,substantivo masculino
risse,,
riste,,substantivo masculino
ritao,,substantivo masculino
ritas,,
ritmo,,substantivo masculino
ritos,,
riuta,,substantivo feminino
rival,,substantivo masculino e feminino
rober,,substantivo masculino
robot,,
rocar,,verbo transitivo e intransitivo
rocas,,substantivo masculino
rocaz,,adjetivo masculino e feminino
rocha,,substantivo feminino
rocia,,
rocie,,
rocim,,substantivo masculino
rocio,,substantivo masculino
rodai,,
rodam,,
rodar,,verbo transitivo
rodas,,
rodei,,
rodem,,
rodes,,
rodio,,substantivo masculino
rodou,,
rogar,,verbo
rogue,,
roiam,,
roido,,
rojai,,
rojam,,
rojao,,substantivo masculino
rojar,,verbo transitivo
rojas,,
rojei,,
rojem,,
rojes,,
rojos,,
rojou,,
rolai,,
rolam,,
rolao,,substantivo masculino
rolar,,verbo transitivo
rolas,,
rolda,,substantivo feminino
rolde,,
roldo,,
rolei,,
rolem,,
roles,,
rolha,,substantivo feminino
rolhe,,
rolho,,
rolou,,
romai,,
romam,,
romao,,substantivo masculino
romar,,
romas,,
rombo,,substantivo masculino
romei,,
romem,,
romes,,
romeu,,substantivo masculino
romou,,
ronco,,substantivo masculino
ronda,,substantivo feminino
ronde,,
rondo,,substantivo masculino
ronha,,substantivo feminino
roque,,substantivo masculino
rosai,,
rosal,,substantivo masculino
rosam,,
rosar,,verbo transitivo direto e pronominal
rosas,,
rosca,,substantivo feminino
rosea,,
rosei,,
rosem,,
roseo,,adjetivo
roses,,
rosna,,
rosne,,
rosno,,
rosos,,
rosou,,
rosto,,substantivo masculino
rotar,,verbo intransitivo
rouba,,
roube,,
roubo,,substantivo masculino
rouca,,adjetivo
rouco,,adjetivo
roupa,,substantivo feminino
roxas,,
roxos,,
ruada,,
rubia,,
rubim,,substantivo masculino
rubis,,
rublo,,substantivo masculino
rubor,,substantivo masculino
rubra,,
rubro,,substantivo masculino
rudos,,
ruela,,substantivo feminino
rufar,,verbo transitivo direto e intransitivo
rufie,,
rufio,,substantivo masculino
rufos,,
rugbi,,substantivo masculino
rugby,,substantivo masculino
rugir,,verbo transitivo
ruide,,
ruido,,
ruina,,substantivo feminino
ruivo,,adjetivo
rumai,,
rumam,,
rumar,,verbo transitivo
rumas,,
rumba,,substantivo feminino
rumei,,
rumem,,
rumes,,
rumor,,substantivo masculino
rumou,,
rupia,,substantivo
rural,,adjetivo
rusga,,substantivo feminino
russa,,
russo,,adjetivo
rutar,,
rutes,,
saami,,
sabao,,substantivo masculino
sabei,,
saber,,"verbo transitivo direto, transitivo indireto e intransitivo"
sabia,,substantivo deverbal
sabio,,substantivo masculino
sable,,substantivo masculino
sabor,,substantivo masculino
sabra,,"adjetivo, substantivo masculino e feminino"
sabre,,substantivo masculino
sacal,,adjetivo masculino e feminino
sacar,,verbo transitivo
sacho,,substantivo masculino
sacie,,
sacio,,
sacra,,substantivo feminino
sacro,,adjetivo
sacue,,
sadra,,substantivo feminino
saeta,,
safar,,verbo transitivo
safos,,
safra,,substantivo feminino
sagaz,,adjetivo
sagra,,substantivo feminino
sagre,,substantivo masculino
sagro,,substantivo masculino
sagui,,substantivo masculino
sahel,,
saiam,,
saias,,substantivo feminino plural
saiba,,substantivo deverbal
saibo,,substantivo masculino
saida,,substantivo feminino
saido,,adjetivo
saire,,substantivo masculino
saite,,
salai,,
salao,,substantivo masculino
salar,,
salas,,
salaz,,adjetivo masculino e feminino
saldo,,substantivo masculino
salei,,
salem,,substantivo masculino
sales,,
salga,,
salho,,
saloa,,
salou,,
salsa,,substantivo feminino
salso,,adjetivo
salta,,
salte,,
salto,,substantivo masculino
salva,,substantivo feminino
salve,,interjeicao
salvo,,adjetivo
samba,,substantivo masculino
samio,,adjetivo
samoa,,
sampa,,substantivo feminino
sanca,,substantivo feminino
sande,,
sando,,
sanei,,
sanga,,substantivo feminino
sanha,,substantivo feminino
sanie,,substantivo feminino
sanja,,substantivo feminino
santa,,
santo,,adjetivo
sapao,,substantivo masculino
sapos,,
saque,,substantivo masculino
sarai,,
saram,,
sarao,,substantivo masculino
sarar,,"verbo transitivo direto, transitivo indireto e pronominal"
saras,,substantivo masculino plural
sarau,,substantivo masculino
sarca,,
sarda,,substantivo feminino
sardo,,adjetivo
sarei,,
sarem,,
sares,,
sarga,,feminino
sarja,,substantivo feminino
sarna,,substantivo feminino
saros,,substantivo masculino
sarou,,
sarra,,feminino
sarro,,substantivo masculino
sarta,,feminino
satao,,substantivo masculino
sauco,,substantivo masculino
saude,,substantivo feminino
sauis,,
saula,,
saulo,,
sauna,,substantivo feminino
sauva,,substantivo feminino
savel,,substantivo masculino
savia,,substantivo masculino
savio,,
saxao,,adjetivo
sazao,,substantivo feminino
schwa,,
scifi,,
scout,,
seara,,substantivo feminino
secao,,substantivo feminino
secar,,verbo transitivo
secos,,
sedan,,
sedas,,
sedes,,
sedex,,
sedia,,substantivo feminino
segar,,verbo transitivo direto e intransitivo
segre,,substantivo masculino
segue,,substantivo deverbal
seios,,
seira,,substantivo feminino
seita,,substantivo feminino
seiva,,substantivo feminino
seixo,,substantivo masculino
sejam,,
sejas,,
selar,,verbo transitivo direto
selem,,
selha,,substantivo feminino
selic,,
selim,,substantivo masculino
selva,,substantivo feminino
semen,,substantivo masculino
semis,,substantivo feminino singular e plural
senao,,preposicao
senas,,
senda,,substantivo feminino
sendo,,substantivo deverbal
senha,,substantivo feminino
senil,,adjetivo
senio,,substantivo masculino
senna,,
senra,,feminino
senso,,substantivo masculino
sente,,adjetivo
sento,,substantivo masculino
sepia,,substantivo feminino
serao,,substantivo masculino
seras,,
serei,,
serem,,
seres,,
seria,,
serie,,substantivo feminino
serio,,adjetivo
serpa,,
serra,,substantivo feminino
serre,,
serro,,substantivo masculino
serta,,substantivo feminino
serva,,substantivo feminino
serve,,
servi,,
servo,,substantivo masculino
sesgo,,adjetivo
sesma,,substantivo feminino
sesso,,substantivo masculino
sesta,,substantivo feminino
setar,,
setas,,
setes,,
setor,,substantivo masculino
sevai,,
sevam,,
sevar,,verbo transitivo direto
sevas,,"substantivo feminino, plural"
sevei,,
sevem,,
seves,,
sevou,,
sexos,,
sexta,,substantivo feminino
sexto,,numeral
shape,,
sheik,,substantivo masculino
shojo,,
short,,substantivo masculino
shoyu,,
siclo,,substantivo masculino
sidas,,
sidos,,
sidra,,substantivo feminino
siene,,
sifao,,substantivo masculino
sigla,,substantivo feminino
sigma,,substantivo masculino
signo,,substantivo masculino
silas,,
silex,,substantivo masculino
silfo,,substantivo masculino
silha,,substantivo feminino
silte,,substantivo masculino
silva,,substantivo feminino
simao,,substantivo masculino
simil,,adjetivo
simio,,substantivo masculino
sinal,,substantivo masculino
sinao,,
sindi,,substantivo masculino
sines,,
sinha,,substantivo feminino
sinop,,
sinta,,
sinto,,substantivo deverbal
sioux,,
sipam,,
sique,,adjetivo
sirga,,substantivo feminino
sirgo,,substantivo masculino
siria,,
sirim,,
sirio,,adjetivo
sirte,,
sirvo,,
sismo,,substantivo masculino
sista,,
sisto,,
sitio,,substantivo masculino
sivam,,
skate,,substantivo masculino
skiff,,
slack,,
slang,,
slick,,
slide,,substantivo masculino
snack,,
soada,,substantivo feminino
soado,,adjetivo
soais,,
soara,,
soava,,
sobem,,
sobes,,
sobeu,,substantivo masculino
sobpe,,substantivo masculino
sobra,,substantivo feminino
sobre,,preposicao
socar,,verbo transitivo
socio,,substantivo masculino
sodio,,substantivo masculino
soeis,,
soera,,
sofas,,
sofia,,substantivo feminino
sofio,,substantivo masculino
sofre,,
sogra,,substantivo feminino
sogro,,substantivo masculino
soiam,,
soias,,
soito,,substantivo masculino
solao,,substantivo masculino
solar,,adjetivo
solaz,,substantivo masculino
solda,,substantivo feminino
solde,,
soldo,,substantivo masculino
soles,,substantivo masculino
solha,,substantivo feminino
solho,,substantivo masculino
solio,,substantivo masculino
solta,,substantivo feminino
solte,,
solto,,adjetivo
somai,,
somam,,
somar,,verbo transitivo
somas,,
somei,,
somem,,
somes,,
somos,,
somou,,
sonar,,substantivo masculino
sonda,,substantivo feminino
sonha,,
sonhe,,
sonho,,substantivo masculino
sonsa,,substantivo feminino
sonso,,adjetivo
sopas,,
sopor,,substantivo masculino
sopre,,
sopro,,substantivo masculino
sorca,,feminino
sorgo,,substantivo masculino
sorna,,adjetivo
soror,,substantivo feminino
soros,,
sorte,,substantivo feminino
sorva,,substantivo feminino
sorvo,,substantivo masculino
sosia,,substantivo masculino e feminino
sosso,,adjetivo
sotao,,substantivo masculino
soube,,
soure,,
sousa,,substantivo masculino
souta,,
souto,,substantivo masculino
souza,,
sovai,,
sovam,,
sovar,,verbo transitivo
sovas,,
sovei,,
sovem,,
soves,,
sovou,,
sport,,
spray,,substantivo masculino
sprue,,substantivo
staff,,substantivo masculino
stand,,substantivo masculino
stick,,
stock,,
stoll,,
stout,,
suabe,,
suado,,adjetivo
suave,,adjetivo
suazi,,
subam,,
subas,,
subia,,
subir,,verbo intransitivo
subis,,
subiu,,
sucho,,substantivo masculino
sucia,,substantivo feminino
sucre,,
sudam,,
sudao,,substantivo masculino
sudro,,substantivo masculino
sueco,,adjetivo
sueli,,
sueto,,substantivo masculino
suevo,,
sufle,,
sugar,,verbo transitivo direto
suica,,
suico,,adjetivo
suino,,adjetivo
suite,,substantivo feminino
sujai,,
sujam,,
sujar,,verbo transitivo
sujas,,
sujei,,
sujem,,
sujes,,
sujos,,
sujou,,
sulco,,substantivo masculino
sumir,,verbo intransitivo
sunab,,
sunda,,
super,,prefixo
supor,,verbo transitivo direto
supre,,
surca,,feminino
surda,,
surdo,,adjetivo
surfe,,substantivo masculino
surfo,,
surra,,substantivo feminino
surro,,substantivo masculino
surto,,adjetivo
susao,,adjetivo
susas,,
sushi,,substantivo masculino
sussa,,adjetivo
susta,,
suste,,
susto,,substantivo masculino
sutia,,substantivo masculino
sutil,,adjetivo
sutis,,
swing,,substantivo masculino
tabai,,
tabao,,substantivo masculino
tabua,,
tabus,,
tacar,,verbo transitivo
tacha,,substantivo feminino
tache,,
tacho,,substantivo masculino
taful,,adjetivo
taier,,
taiga,,substantivo feminino
taiko,,
taina,,substantivo masculino
taipa,,substantivo feminino
taipu,,
taise,,
taiua,,
talai,,
talam,,
talao,,substantivo masculino
talar,,adjetivo
talas,,
talco,,substantivo masculino
talei,,
talem,,
tales,,
talha,,substantivo feminino
talhe,,substantivo masculino
talho,,substantivo masculino
talia,,substantivo feminino
talim,,substantivo masculino
talio,,substantivo masculino
talou,,
tamao,,substantivo masculino
tamem,,adverbio
tamil,,substantivo masculino
tamos,,
tampa,,substantivo feminino
tampe,,
tampo,,substantivo masculino
tanas,,substantivo masculino singular e plural
tanca,,feminino
tanga,,substantivo feminino
tange,,substantivo deverbal
tango,,substantivo masculino
tanha,,feminino
tanho,,substantivo masculino
tansa,,
tanso,,"adjetivo, substantivo masculino"
tanta,,substantivo masculino
tanto,,adverbio
taoca,,substantivo feminino
tapai,,
tapam,,
tapar,,verbo transitivo
tapas,,
tapei,,
tapem,,
tapes,,substantivo masculino
tapir,,substantivo masculino
tapou,,
tapua,,substantivo masculino
tarar,,verbo transitivo
tarda,,
tarde,,substantivo feminino
tardo,,adjetivo
tarja,,substantivo feminino
tarot,,
tarro,,substantivo masculino
tarso,,substantivo masculino
tasca,,substantivo feminino
tasco,,substantivo masculino
tasto,,substantivo masculino
tatil,,adjetivo
tatui,,substantivo masculino
tavao,,substantivo masculino
taxai,,
taxam,,
taxar,,verbo transitivo direto
taxas,,
taxei,,
taxem,,
taxes,,
taxis,,substantivo feminino singular e plural
taxon,,
taxou,,
tchau,,interjeicao
tebas,,adjetivo
tecer,,verbo transitivo direto
tecla,,substantivo feminino
tecle,,
teclo,,
tecno,,substantivo masculino
tecto,,substantivo masculino
tedio,,substantivo masculino
teera,,
teiga,,substantivo feminino
teima,,substantivo feminino
teime,,
teimo,,
teipe,,substantivo feminino
teito,,substantivo masculino
teixo,,substantivo masculino
telai,,
telam,,
telao,,substantivo masculino
telar,,verbo transitivo direto
telas,,
telei,,
telem,,
teles,,substantivo feminino plural
telex,,substantivo masculino
telha,,substantivo feminino
telho,,substantivo masculino
telos,,
telou,,
temao,,substantivo masculino
temas,,
temba,,feminino
temer,,"verbo transitivo direto, transitivo indireto, intransitivo e pronominal"
temia,,feminino
temor,,substantivo masculino
temos,,
tempo,,substantivo masculino
tenaz,,adjetivo
tenca,,substantivo feminino
tenda,,substantivo feminino
tende,,substantivo deverbal
tendo,,substantivo deverbal
tenha,,
tenho,,
tenia,,substantivo feminino
tenis,,substantivo masculino
tenor,,substantivo masculino
tenra,,adjetivo
tenro,,adjetivo
tensa,,adjetivo
tenso,,adjetivo
tenta,,substantivo feminino
tente,,adjetivo
tento,,substantivo masculino
tenue,,adjetivo
terao,,
teras,,
terca,,substantivo
terco,,substantivo masculino
terei,,
tergo,,substantivo masculino
teria,,substantivo feminino
terma,,feminino
termo,,substantivo masculino
terna,,
terno,,adjetivo
terra,,substantivo feminino
terso,,adjetivo
tesai,,
tesam,,
tesao,,substantivo masculino
tesar,,verbo transitivo
tesas,,
tesei,,
tesem,,
teses,,
teseu,,
tesla,,substantivo masculino
tesou,,
tesse,,substantivo masculino
testa,,substantivo feminino
teste,,substantivo masculino
testo,,adjetivo
tetas,,substantivo masculino singular e plural
tetis,,substantivo masculino
tetra,,adjetivo
tetro,,adjetivo
tetum,,substantivo masculino
teudo,,adjetivo
teuto,,substantivo masculino
texas,,
texto,,substantivo masculino
tiaga,,
tiago,,
tiara,,substantivo feminino
tibar,,substantivo masculino
tibau,,
tibio,,adjetivo
tibum,,
ticao,,substantivo masculino
ticar,,verbo transitivo direto
tidas,,
tidos,,
tiete,,substantivo masculino
tifeu,,
tigre,,substantivo masculino
tilar,,verbo transitivo
tilia,,substantivo feminino
tilte,,
timao,,substantivo masculino
timba,,substantivo feminino
timbo,,substantivo masculino
timer,,substantivo masculino
timon,,
tiner,,
tinge,,
tinha,,substantivo feminino
tinir,,verbo intransitivo
tinta,,substantivo feminino
tinto,,adjetivo
tiple,,substantivo masculino e feminino
tipoi,,substantivo masculino
tique,,substantivo masculino
tirai,,
tiram,,
tirar,,verbo transitivo direto e bitransitivo
tiras,,
tirei,,
tirem,,
tires,,
tiros,,
tirou,,
tirso,,substantivo masculino
tisne,,substantivo masculino
tisso,,substantivo masculino
tissu,,
titia,,substantivo feminino
titio,,substantivo masculino
tiver,,substantivo deverbal
tmese,,substantivo feminino
toada,,substantivo feminino
toari,,
tocam,,
tocar,,"verbo transitivo direto, transitivo indireto e intransitivo"
tocha,,substantivo feminino
tocho,,substantivo masculino
tocou,,
todas,,pronome indefinido plural
todos,,pronome indefinido plural
togar,,
toica,,feminino
toira,,substantivo feminino
toiro,,substantivo masculino
tojal,,substantivo masculino
token,,
tokyo,,
tolar,,verbo transitivo direto e pronominal
tolda,,substantivo feminino
toldo,,substantivo masculino
tolho,,substantivo masculino
tomai,,
tomam,,
tomar,,verbo transitivo direto e transitivo indireto
tomas,,
tomba,,substantivo feminino
tombe,,
tombo,,substantivo masculino
tomei,,
tomem,,
tomes,,
tomos,,
tomou,,
tonal,,adjetivo
tonar,,verbo intransitivo
tonas,,
tonel,,substantivo masculino
toner,,substantivo masculino
tonga,,substantivo masculino
tonho,,
tonta,,substantivo feminino
tonto,,adjetivo
topai,,
topam,,
topar,,verbo transitivo
topas,,
topei,,
topem,,
topes,,
topou,,
toque,,substantivo masculino
toral,,substantivo masculino
torar,,verbo transitivo
torax,,substantivo masculino
torco,,substantivo deverbal
torda,,substantivo feminino
tordo,,substantivo masculino
torga,,substantivo feminino
torgo,,substantivo masculino
torio,,substantivo masculino
torna,,substantivo feminino
torne,,
torno,,substantivo masculino
torpe,,adjetivo
torre,,substantivo feminino
torso,,substantivo masculino
torta,,substantivo feminino
torto,,adjetivo
torvo,,adjetivo
tosar,,verbo transitivo direto
tosco,,adjetivo
tosse,,substantivo feminino
tosta,,substantivo feminino
toste,,adverbio
total,,adjetivo
totos,,
touca,,substantivo feminino
touco,,substantivo masculino
toupa,,
toura,,substantivo feminino
touro,,substantivo masculino
touta,,substantivo feminino
toxia,,substantivo feminino
traca,,
trace,,adjetivo
traco,,substantivo masculino
traem,,
trago,,substantivo masculino
trair,,verbo transitivo
traje,,substantivo masculino
trajo,,substantivo masculino
trama,,substantivo feminino
trame,,
trans,,substantivo
trapo,,substantivo masculino
trara,,
trash,,
trata,,
trate,,
trato,,substantivo masculino
trave,,substantivo feminino
travo,,substantivo masculino
treco,,substantivo masculino
trela,,substantivo feminino
trema,,substantivo masculino
treme,,
tremi,,
trena,,substantivo feminino
treno,,substantivo masculino
trens,,
trepa,,substantivo feminino
trepe,,
trepo,,
tresa,,
treta,,substantivo feminino
treus,,
treva,,substantivo feminino
trevo,,substantivo masculino
treze,,numeral
trial,,
tribo,,substantivo feminino
trica,,substantivo feminino
trick,,
triga,,substantivo feminino
trigo,,substantivo masculino
trilo,,substantivo masculino
trina,,
trino,,adjetivo
trios,,
tripa,,substantivo feminino
tripe,,substantivo masculino
troar,,verbo intransitivo
troba,,
troca,,substantivo feminino
troco,,substantivo masculino
trofa,,
troia,,feminino
trole,,substantivo masculino
troll,,
trono,,substantivo masculino
tropa,,substantivo feminino
tropo,,substantivo masculino
trote,,substantivo masculino
trova,,substantivo feminino
truao,,substantivo masculino
truco,,substantivo masculino
trufa,,substantivo feminino
truta,,substantivo feminino
tuaca,,substantivo feminino
tubas,,
tubos,,
tufao,,substantivo masculino
tugir,,verbo intransitivo
tugue,,substantivo masculino
tuide,,
tuite,,substantivo masculino
tulha,,substantivo feminino
tulia,,
tulio,,
tumba,,substantivo feminino
tumor,,substantivo masculino
tunar,,verbo intransitivo
tunas,,
tunda,,substantivo feminino
tunel,,substantivo masculino
tunes,,
tunga,,substantivo feminino
tunis,,
tupas,,
tupis,,
turba,,substantivo feminino
turbe,,substantivo feminino
turbo,,apositivo
turco,,substantivo masculino
turfa,,substantivo feminino
turma,,substantivo feminino
turne,,substantivo feminino
turno,,substantivo masculino
turuq,,
turve,,
turvo,,adjetivo
tusco,,adjetivo
tutai,,
tutam,,
tutar,,
tutas,,
tutei,,
tutem,,
tutes,,
tutia,,substantivo feminino
tutor,,substantivo masculino
tutou,,
tutum,,substantivo masculino
tweed,,substantivo masculino
twist,,substantivo masculino
uaica,,adjetivo masculino e feminino
uambe,,substantivo masculino
uaura,,"adjetivo, substantivo masculino e feminino"
ubaia,,substantivo feminino
ubata,,
ubere,,substantivo masculino
uccla,,
uchoa,,
ufano,,adjetivo
ufrgs,,
uibai,,
uiste,,substantivo masculino
uivai,,
uivam,,
uivar,,verbo intransitivo
uivas,,
uivei,,
uivem,,
uives,,
uivos,,
uivou,,
ulear,,
ulpia,,
ulpio,,
ultra,,prefixo
ulula,,
ulule,,
ululo,,substantivo masculino
umami,,
umari,,substantivo masculino
umbro,,substantivo masculino
umero,,substantivo masculino
umido,,adjetivo
uncao,,substantivo feminino
ungir,,verbo transitivo
unhar,,verbo transitivo
unhas,,substantivo masculino
unhos,,
uniao,,substantivo feminino
unica,,
unico,,adjetivo
unida,,
unido,,adjetivo
untar,,verbo transitivo direto
uolof,,
urano,,substantivo masculino
urdia,,
urdir,,verbo transitivo direto
ureia,,substantivo feminino
urgir,,verbo intransitivo
uribe,,
urico,,adjetivo
urina,,substantivo feminino
urine,,
urino,,
urnas,,substantivo feminino plural
urrar,,verbo intransitivo
urrul,,
ursas,,
ursos,,
urubu,,substantivo masculino
urupa,,
urupe,,substantivo masculino
urutu,,substantivo masculino e feminino
urzal,,substantivo masculino
usada,,
usado,,adjetivo
usais,,
usara,,
usava,,
useis,,
usina,,substantivo feminino
usmar,,verbo transitivo
ustra,,
usual,,adjetivo
usura,,substantivo feminino
utero,,substantivo masculino
uvaia,,substantivo feminino
uviar,,verbo intransitivo
uvula,,substantivo feminino
uyezd,,
vacao,,substantivo masculino
vacar,,verbo intransitivo
vacua,,substantivo masculino
vacum,,"adjetivo, substantivo masculino"
vacuo,,adjetivo
vadia,,substantivo feminino
vadio,,substantivo masculino
vaduz,,
vagao,,substantivo masculino
vagar,,verbo intransitivo
vagem,,substantivo feminino
vagir,,verbo intransitivo
vagos,,
vaiar,,verbo transitivo direto
vaibe,,
valao,,substantivo masculino
valar,,verbo transitivo
valas,,
valda,,
valdo,,"adjetivo, substantivo masculino"
valer,,verbo transitivo
vales,,
valha,,substantivo deverbal
valia,,substantivo feminino
valor,,substantivo masculino
valsa,,substantivo feminino
valse,,
valso,,
valva,,substantivo feminino
vamos,,
vampe,,substantivo feminino
vanda,,substantivo feminino
vando,,
vania,,
vanio,,
vapor,,substantivo masculino
varai,,
varam,,
varao,,substantivo masculino
varar,,verbo transitivo
varas,,
varei,,
varem,,
vares,,
varga,,substantivo feminino
varge,,substantivo feminino
varia,,substantivo feminino
vario,,adjetivo
variz,,substantivo feminino
varja,,substantivo feminino
varou,,
vasco,,adjetivo
vasos,,
vasto,,adjetivo
vatel,,substantivo masculino
vates,,
vatio,,substantivo masculino
vazai,,
vazam,,
vazao,,substantivo feminino
vazar,,verbo transitivo
vazas,,
vazei,,
vazem,,
vazes,,
vazia,,substantivo feminino
vazio,,adjetivo
vazou,,
veada,,substantivo feminino
veado,,substantivo masculino
vedar,,verbo transitivo
vedes,,
vedor,,"adjetivo, substantivo masculino"
vedra,,
vedro,,adjetivo
vegan,,
veias,,
veiga,,substantivo feminino
veiro,,substantivo masculino
vejam,,
velai,,
velam,,
velar,,verbo transitivo direto e intransitivo
velas,,
velei,,
velem,,
veles,,
velha,,substantivo feminino
velho,,adjetivo
velou,,
veloz,,adjetivo
venal,,adjetivo
vence,,
venci,,
venda,,substantivo feminino
vende,,
vendo,,substantivo deverbal
venha,,
venho,,substantivo deverbal
venia,,substantivo feminino
venta,,substantivo feminino
vento,,substantivo masculino
venus,,
vepsa,,substantivo masculino
vepso,,
verao,,substantivo masculino
veras,,substantivo feminino plural
veraz,,adjetivo
verba,,substantivo feminino
verbo,,substantivo masculino
verca,,substantivo feminino
verde,,substantivo masculino
verei,,
verga,,substantivo feminino
verge,,adjetivo
veria,,
verme,,substantivo masculino
veros,,
verso,,substantivo masculino
verte,,
vesgo,,substantivo masculino
vespa,,substantivo feminino
vesta,,
veste,,substantivo feminino
vesti,,
vetao,,
vetar,,verbo transitivo direto
vetor,,substantivo masculino
vexar,,verbo transitivo direto e pronominal
vezes,,adverbio
viada,,
viado,,adjetivo
viaja,,
viaje,,
viajo,,
viana,,
vibra,,
vicio,,substantivo masculino
vidar,,verbo transitivo
vidas,,
video,,substantivo masculino
vides,,
vidra,,
vidro,,substantivo masculino
viela,,substantivo feminino
viena,,
viera,,
vigar,,verbo transitivo direto
viger,,verbo intransitivo
vigia,,substantivo feminino
vigie,,
vigil,,
vigio,,
vigor,,substantivo masculino
vilao,,substantivo masculino
vilas,,
viloa,,
vimos,,substantivo deverbal
vinca,,
vinco,,substantivo masculino
vinda,,substantivo feminino
vinde,,
vindo,,adjetivo
vinga,,
vinha,,substantivo feminino
vinho,,substantivo masculino
vinil,,substantivo masculino
vinis,,
vinte,,numeral
viola,,substantivo feminino
virai,,
viral,,adjetivo
viram,,substantivo deverbal
virao,,substantivo deverbal
virar,,"verbo transitivo direto, intransitivo e pronominal"
viras,,
virei,,
virem,,
vires,,
virgo,,substantivo feminino
viria,,substantivo feminino
viril,,adjetivo
viris,,
virol,,substantivo masculino
virou,,
virus,,substantivo masculino
visao,,substantivo feminino e masculino
visar,,verbo transitivo direto
visco,,substantivo masculino
viseu,,
visgo,,substantivo masculino
visom,,
vison,,
visse,,substantivo deverbal
vista,,substantivo feminino
viste,,
visto,,substantivo masculino
vital,,adjetivo
vitor,,
viuva,,substantivo feminino
viuvo,,"adjetivo, substantivo masculino"
vivas,,
vivaz,,adjetivo
viver,,verbo intransitivo
vivia,,
vivos,,
voava,,
vocal,,adjetivo
voces,,
voclp,,
vodca,,substantivo masculino e feminino
vodka,,
voeja,,
vogal,,substantivo feminino
vogam,,
vogar,,verbo intransitivo
vogas,,
voile,,substantivo masculino
volei,,
volpe,,
volps,,
volta,,substantivo feminino
volte,,substantivo masculino
volto,,adjetivo
volts,,
vomer,,substantivo masculino
voraz,,adjetivo
vosco,,pronome
vossa,,
vosso,,pronome pessoal
votai,,
votam,,
votar,,verbo transitivo
votas,,
votei,,
votem,,
votes,,
votos,,
votou,,
vougo,,
vozes,,
vulgo,,adverbio
vulto,,substantivo masculino
vulva,,substantivo feminino
vurmo,,substantivo masculino
waika,,
wolof,,
xabre,,
xacho,,
xacra,,substantivo masculino
xador,,substantivo masculino
xaile,,substantivo masculino
xamas,,
