word,history,part_of_speech
bloco,,substantivo masculino
bloga,,
bluco,,adjetivo
blues,,substantivo masculino singular e plural
bluff,,
blusa,,substantivo feminino
bndes,,
boate,,substantivo feminino
boato,,substantivo masculino
boava,,
bobar,,verbo intransitivo
bobot,,
bocal,,substantivo masculino
bocao,,
bocas,,
bocha,,substantivo masculino
boche,,"adjetivo, substantivo masculino"
bocoi,,
bodao,,
bodas,,substantivo feminino plural
bofas,,
boiao,,
boiar,,verbo transitivo
boica,,
boiei,,
boiil,,substantivo masculino
boina,,substantivo feminino
boira,,
boita,,
boite,,
bojar,,verbo transitivo direto
bolar,,verbo transitivo direto
bolas,,plural
bolbo,,substantivo masculino
bolha,,substantivo feminino
bolor,,substantivo masculino
bolsa,,substantivo feminino
bolso,,substantivo masculino
bomba,,substantivo feminino
bombo,,substantivo masculino
bonde,,substantivo masculino
bongo,,
bonus,,substantivo masculino
bonzo,,substantivo masculino
boras,,
borax,,substantivo masculino
borba,,
borda,,substantivo feminino
borde,,
bordo,,substantivo masculino
boria,,
borla,,substantivo feminino
borne,,
boroa,,
borra,,substantivo feminino
borro,,
bosao,,
boson,,
bossa,,substantivo feminino
bosta,,substantivo feminino
boste,,
bosto,,
botai,,
botam,,
botao,,substantivo masculino
botar,,"verbo transitivo direto, bitransitivo e intransitivo"
botas,,
botei,,
botem,,
botes,,
botim,,substantivo masculino
boton,,
botou,,
botox,,
bouba,,substantivo feminino
bouca,,
boxer,,
boxes,,
brabo,,adjetivo
braca,,substantivo feminino
braco,,substantivo masculino
brada,,
brado,,substantivo masculino
braga,,substantivo feminino
brama,,substantivo feminino
brasa,,substantivo feminino
brava,,adjetivo
bravo,,adjetivo
bravu,,
breca,,
brega,,adjetivo masculino e feminino
breia,,
breja,,
brejo,,substantivo masculino
brena,,
breno,,
brete,,
breve,,adjetivo
brial,,
brica,,
brida,,substantivo feminino
briga,,substantivo feminino
brigo,,
briol,,substantivo masculino
brisa,,substantivo feminino
briza,,substantivo feminino
broar,,
broas,,
broca,,substantivo feminino
broco,,
brodo,,
bromo,,substantivo masculino
brota,,
brote,,
broto,,substantivo masculino
broxa,,adjetivo
broxe,,
broxo,,
bruar,,
bruma,,substantivo feminino
bruna,,
brune,,
bruni,,
bruno,,
bruta,,substantivo feminino
bruto,,adjetivo
bruxa,,substantivo feminino
bruxo,,substantivo masculino
bucal,,adjetivo
bucha,,substantivo feminino
bucho,,substantivo masculino
bucil,,
bucle,,substantivo masculino
bucos,,
bueno,,
bufao,,substantivo masculino
bufar,,verbo intransitivo
bugar,,
bugia,,
bugie,,
bugio,,substantivo masculino
bugre,,substantivo masculino e feminino
bugue,,
bular,,verbo transitivo
bulas,,
bulbo,,substantivo masculino
bulha,,substantivo feminino
bulho,,
bulir,,verbo transitivo
bumbo,,substantivo masculino
bunda,,substantivo feminino
bunho,,
buque,,substantivo masculino
burca,,substantivo feminino
burel,,substantivo masculino
burgo,,substantivo masculino
buril,,substantivo masculino
burla,,substantivo feminino
burra,,substantivo feminino
burro,,substantivo masculino
busao,,
busca,,substantivo feminino
busto,,substantivo masculino
butao,,
buteo,,substantivo masculino
butes,,
butia,,substantivo feminino
butim,,substantivo masculino
butio,,
butua,,feminino
buxao,,
buzio,,substantivo masculino
caaba,,substantivo feminino
cabal,,adjetivo
cabau,,substantivo masculino
cabaz,,substantivo masculino
cabem,,
caber,,verbo transitivo indireto
cabis,,substantivo masculino
cabos,,substantivo masculino
caboz,,substantivo masculino
cabra,,substantivo feminino
cabro,,substantivo masculino
cabum,,
cacao,,substantivo masculino
cacar,,verbo transitivo direto
cacau,,substantivo masculino
cacha,,substantivo feminino
cache,,substantivo masculino
cacho,,substantivo masculino
cacre,,
cacto,,substantivo masculino
cacua,,
cadea,,
caete,,substantivo masculino
cafes,,
cafra,,substantivo feminino
cafre,,"adjetivo, substantivo masculino e feminino"
cafua,,substantivo feminino
cagao,,
cagar,,verbo intransitivo
caiar,,verbo transitivo direto
caibi,,
caibo,,substantivo masculino
caico,,
caida,,substantivo feminino
caido,,adjetivo
cains,,
caios,,
caira,,
cairo,,substantivo masculino
cairu,,
caiua,,
caixa,,substantivo feminino
calai,,
calam,,
calao,,substantivo masculino
calar,,verbo intransitivo
calas,,
calca,,substantivo feminino
calce,,substantivo masculino
calco,,substantivo masculino
calda,,substantivo feminino
caldo,,substantivo masculino
calei,,
calem,,
cales,,
calfe,,
calha,,substantivo feminino
calhe,,substantivo feminino
calix,,substantivo masculino
caliz,,substantivo masculino
calma,,substantivo feminino
calmo,,adjetivo
calom,,substantivo masculino
calor,,substantivo masculino
calos,,
calou,,
calva,,substantivo feminino
calve,,
calvo,,"adjetivo, substantivo masculino"
camal,,substantivo masculino
camas,,
camba,,substantivo feminino
cambe,,
cambo,,substantivo masculino
camim,,
campa,,substantivo feminino
campo,,substantivo masculino
canaa,,
canal,,substantivo masculino
canas,,
canca,,substantivo masculino
canda,,feminino
cando,,substantivo masculino
canga,,substantivo feminino
cango,,substantivo masculino
canha,,
canil,,substantivo masculino
canja,,substantivo feminino
canle,,
canoa,,substantivo feminino
canon,,substantivo masculino
canos,,
canse,,
canso,,substantivo masculino
canta,,
cante,,
canto,,substantivo masculino
canza,,substantivo masculino
capai,,
capam,,
capao,,substantivo masculino
capar,,verbo transitivo
capas,,
capaz,,adjetivo
capem,,
capes,,
capim,,substantivo masculino
capoa,,
capot,,
capou,,
caput,,substantivo masculino
capuz,,substantivo masculino
caqui,,substantivo masculino
caraa,,
carai,,
caras,,
caray,,
carda,,substantivo feminino
cardo,,substantivo masculino
carga,,substantivo feminino
cargo,,substantivo masculino
carie,,substantivo feminino
caril,,substantivo masculino
cariz,,substantivo masculino
carla,,
carlo,,
carma,,substantivo masculino
carme,,substantivo masculino
carmo,,
